id,company,date,headline,source,url
finnhub-apple-140883397,Apple,2026-07-13,"TSMC Q2 revenue jumps 36% from a year earlier, beating market expectations",Yahoo,https://finnhub.io/api/news?id=62817613e9842943e5c337da7750d5add3662e5a1eafcbd1dc7affa497d9098a
finnhub-apple-140883402,Apple,2026-07-13,Jim Cramer Says Comparing the Mag 7 Is a Mistake: Here Are 5 Reasons Each Stock Is Different,Yahoo,https://finnhub.io/api/news?id=5dc107a64a6d85c514afa3ba4faed00cc1a62bc26f16b67aa891d1faebd5973f
finnhub-apple-140883411,Apple,2026-07-13,"‘Not Afraid Of Apple,’ Says OpenAI CEO Sam Altman After Trade Secret Lawsuit",Yahoo,https://finnhub.io/api/news?id=0f9dc862b7609ebd9ebc31d47b9942495ee11b8ef8326c9bdb9306ef2440cd64
finnhub-apple-140882988,Apple,2026-07-13,"Why Retail Traders Couldn’t Take Their Eyes Off These Stocks Last Week: AAPL, MU, MSFT, META, BABA",Yahoo,https://finnhub.io/api/news?id=2af4a92a53fac03e62a99995662b5df522f9b0403ffc6e4669825248889146f1
finnhub-apple-140882596,Apple,2026-07-13,Apple (AAPL) Sues OpenAI Over AI Hardware Trade Secrets,Yahoo,https://finnhub.io/api/news?id=a2bc4b2e83515181eb1fae20e425e7aebdd8233ec1c641c2f11d56ac83fca788
finnhub-apple-140881948,Apple,2026-07-12,Apple: AI Toll Booth Myth,SeekingAlpha,https://finnhub.io/api/news?id=7b8fb7f5213563326c25c2d36324114fce8021c38879f0f19483e316aff30e0a
finnhub-apple-140882989,Apple,2026-07-12,Taiwan Semi Stock Is Approaching Fair Value Ahead of July 16. How to Play TSM Here.,Yahoo,https://finnhub.io/api/news?id=0b9360ed51d1b9f642543975a87d32b50d4b5526094aa3ee63d525bd8d23a8f8
finnhub-apple-140879781,Apple,2026-07-12,Elon Musk roasts OpenAI's Apple lawsuit — but Altman hits back: 'You're the one selling investors on space datacenters',Yahoo,https://finnhub.io/api/news?id=6edba5ae9735c2294a3b53989cf6ad5e62ccf2ef23901c5161d2bd53035e2e3a
finnhub-apple-140879783,Apple,2026-07-12,'LOL ... so funny': Apple says ex-engineer stole secrets and coached a colleague to do the same. He now works at OpenAI,Yahoo,https://finnhub.io/api/news?id=a7b3e79c72d0f49558f0c39fe869939070d057c5cf7a9e85b08f13297b993b89
finnhub-apple-140879772,Apple,2026-07-12,Is the AI Bubble About to Burst?,Yahoo,https://finnhub.io/api/news?id=ed1822e367fe5cc1ca1b0c9e54d974ef6ae6923fe6e33d20ab21e9ac795c37b5
